Renda Anual,Anos de Educação,Despesas Mensais,Idade,Poupança
81162.62,21,2966.18,56,114039.89
190635.72,16,3112.23,48,106022.42
149078.85,8,2235.83,49,305490.49
123745.11,0,3734.93,58,205514.23
39643.54,20,4684.96,67,419930.65
39638.96,19,4642.73,29,450011.56
21035.89,12,2364.03,25,176710.69
174573.47,15,743.54,25,118435.28
124211.85,12,4927.24,67,390262.76
144533.79,13,4226.71,45,137403.02
13911.05,2,798.38,79,411307.16
194282.87,5,4620.04,37,211869.13
168164.1,17,4375.5,79,333774.95
50344.43,18,2690.42,64,47767.66
44546.74,4,3038.12,76,311929.66
44846.86,14,2115.21,80,225883.84
67806.03,24,462.86,24,293304.23
109703.72,1,1808.95,28,84007.1
92069.55,9,4053.7,37,368436.87
65333.54,23,222.23,33,431398.54
126252.05,17,1800.8,21,108369.9
36503.83,12,2111.21,23,47857.28
65507.48,4,2779.5,75,11819.29
79608.75,22,4615.31,39,320985.75
96653.3,23,1862.46,43,303547.02
159183.43,0,1865.38,80,273348.71
47938.02,21,3740.01,20,115973.55
107704.54,0,2370.65,80,195453.0
122558.77,17,1278.1,58,297238.17
18825.58,14,2371.71,77,248383.43
125433.52,16,876.11,59,493892.76
42399.58,10,1046.66,31,68219.88
22359.8,20,2592.17,28,347572.28
190288.25,25,2210.84,35,202159.38
193470.09,24,4591.26,71,214099.81
163595.5,21,1939.49,29,358798.88
67876.62,16,2986.82,40,346218.08
28557.7,12,3234.87,29,495628.0
140004.28,0,262.85,30,64197.14
93628.97,1,3384.98,42,52054.82
33187.26,8,1054.57,62,362169.41
104083.61,2,4813.14,68,289193.46
16533.82,0,913.58,75,137080.33
182770.88,20,2190.2,36,39709.68
59168.2,15,609.68,72,42829.12
135879.23,22,4985.0,63,447095.44
69225.1,5,2610.54,53,95933.66
108812.92,16,3057.85,62,161685.78
113874.95,4,521.97,25,113328.2
45122.35,4,3799.81,46,177498.15
194221.08,5,1207.55,72,34711.92
157275.24,2,4510.66,70,259529.9
188504.8,20,1184.67,72,33806.28
180017.2,22,1115.3,49,400178.25
123601.0,4,375.44,68,116856.04
185156.1,20,2465.92,61,270005.96
26813.58,4,2911.24,35,440039.54
47236.74,9,515.4,23,325438.68
18593.18,9,3922.53,35,266478.89
71812.76,18,2375.79,36,162166.88
83848.69,16,2717.07,39,166500.96
61556.32,20,2315.66,54,334743.48
167460.13,13,2123.66,49,497069.68
77783.13,8,2886.27,73,330919.59
63377.56,13,945.15,58,278891.71
113112.26,0,1073.26,76,365325.26
36775.6,18,4336.57,20,232602.81
162417.43,12,4741.35,45,30071.17
24164.62,12,1991.88,27,281148.41
197508.52,3,1499.57,68,478812.64
156726.51,0,3291.2,52,87651.47
47755.98,16,2161.92,78,345002.45
11049.2,7,321.85,46,100466.84
164937.67,1,949.53,71,267913.84
144302.9,7,3636.67,80,48338.22
148511.36,6,3362.83,32,225185.47
156541.37,25,330.06,50,378081.66
24068.48,25,1265.47,24,173785.76
78108.49,1,1309.16,29,332455.86
32015.12,21,3425.09,66,397724.98
173989.65,21,294.61,47,463588.91
128426.64,2,699.72,38,117321.04
72870.62,17,4039.6,48,199657.96
22076.09,11,1057.01,75,76208.01
69086.64,0,3333.18,78,496241.75
71784.83,21,1343.28,41,463500.48
148625.17,11,677.32,37,269978.57
131135.92,4,1367.23,54,421016.65
178570.42,24,3666.88,21,260478.99
99720.84,16,4307.34,45,311792.84
32722.91,15,4185.06,61,44562.22
145516.51,14,2106.48,79,377635.21
154549.16,22,3406.81,37,63856.74
116642.67,14,1183.92,77,413033.82
156483.76,4,1607.11,41,391014.04
103821.16,20,4502.41,67,354372.35
109319.24,13,262.41,66,18080.19
91232.79,1,610.44,68,151564.18
14829.63,10,1197.85,49,131556.28
30499.37,18,327.35,58,180068.2
15971.55,6,1070.89,53,43821.37
130917.98,5,2998.6,75,468478.91
69727.64,1,2222.84,70,276901.12
106628.43,5,4484.82,51,152762.16
182437.63,17,4123.73,53,198490.76
57365.52,1,1840.72,19,223601.27
87972.76,17,1445.23,32,300297.17
153554.72,14,2022.52,51,257839.71
53471.65,18,3033.42,53,459695.99
24626.18,1,1486.71,23,248481.74
65052.78,19,3195.91,56,496079.01
40632.04,24,2165.18,59,425712.48
186642.55,5,2849.83,68,104255.26
163542.87,0,2293.41,68,465297.61
130346.71,23,1613.44,75,58183.2
175577.51,14,4752.58,71,408724.85
162697.69,22,3865.31,78,190311.65
45448.31,9,872.54,29,438987.16
179586.21,18,4368.65,20,434028.35
112475.03,16,2539.67,62,402962.7
163413.63,4,4493.85,35,395015.22
180257.35,3,4039.31,57,152339.57
70420.66,9,2241.02,38,40459.64
30909.87,23,307.85,32,201490.09
53307.68,16,1489.65,50,86762.26
91150.48,9,2799.84,52,347475.54
165422.81,16,3240.7,43,173049.86
173538.81,19,1437.86,25,487805.1
11320.9,23,868.91,53,320486.04
107041.99,4,4207.67,65,411240.28
89308.09,1,4925.13,47,66262.34
52200.48,5,2723.31,40,431007.24
32774.42,20,1024.06,59,461378.6
74146.88,1,1507.08,61,243530.96
189152.84,12,288.28,31,303126.47
71408.56,10,4588.63,31,382404.9
108570.22,10,765.21,19,87419.31
143573.6,15,2967.28,72,251283.04
79089.62,10,1515.47,54,199331.51
194638.6,18,2860.05,22,73187.0
192864.99,14,3326.82,55,183767.21
57838.64,24,4182.76,62,34086.15
104477.22,22,1190.82,58,12905.95
67166.88,22,252.78,79,67583.14
64119.69,15,857.05,71,481557.56
17008.52,10,4520.09,77,274764.77
125817.22,21,4394.67,78,482911.08
105509.01,15,3067.58,64,216248.94
19780.96,7,3082.48,31,155908.07
62942.83,3,3392.18,73,253070.93
182570.52,7,1041.78,56,219755.84
55516.76,3,4589.18,42,52832.34
37530.03,23,2210.1,37,320413.16
102996.02,24,2039.06,19,108019.09
197273.59,2,2690.8,56,309793.98
55990.5,2,425.44,23,325100.55
137705.75,17,998.16,34,76012.43
154707.73,25,3742.56,76,30674.81
55151.13,18,597.43,42,390380.79
148361.11,18,3095.13,74,229900.21
79878.8,20,1377.68,45,29081.9
130138.11,4,2068.62,19,497433.16
130370.65,17,1585.73,52,28890.28
111797.19,9,1907.23,54,347517.61
27155.06,21,3651.42,22,491839.46
168707.47,20,1626.18,80,119590.05
70948.21,5,2918.74,18,71124.68
45438.52,0,2485.04,57,60692.47
17747.28,4,3385.62,29,151637.57
122269.66,8,4696.78,73,50522.91
138737.23,11,3716.35,53,346080.67
13151.69,25,1231.71,62,31145.9
107297.68,13,349.68,40,254711.06
53034.2,1,1458.87,64,498348.43
132582.83,16,3056.37,48,406985.13
43129.62,13,446.84,28,307609.72
141278.17,25,2582.56,27,153126.81
83479.72,12,3064.85,20,311947.92
187978.7,8,1804.37,71,263520.73
36128.98,25,3900.38,31,213041.69
74802.61,24,711.67,33,65355.19
31559.97,14,560.66,27,443302.11
185691.79,24,3695.31,46,224892.32
176694.48,21,2578.36,27,97311.26
59008.91,14,3504.33,29,183879.68
135396.97,23,2287.17,47,207064.88
165272.22,10,1382.73,58,413768.95
115488.15,15,4131.69,18,366807.19
110633.61,16,4037.2,22,384652.45
55951.94,25,3534.54,37,5515.63
27689.53,3,1506.3,25,208077.0
180470.99,0,3033.11,60,240672.08
181079.43,7,1932.67,29,9596.14
130289.28,16,639.59,18,129906.6
74415.66,2,4603.11,74,380144.91
76349.82,19,856.73,71,68554.85
147931.58,14,4761.14,37,267655.07
180450.95,14,2340.83,45,107600.94
178546.42,23,1088.64,74,6060.39
158176.35,21,2801.12,60,120600.73
131986.01,13,4390.14,54,487936.88
25986.59,25,3714.68,64,400768.56
40709.46,22,4071.49,54,479788.32
180725.3,13,3362.16,29,243927.02
125221.52,23,3522.93,54,54868.1
11747.44,1,4276.14,66,273979.74
29279.59,12,1398.41,66,227188.67
136065.34,25,2549.24,73,422178.54
10961.7,13,1261.81,61,49041.29
40553.53,23,4940.81,73,244120.57
114259.42,18,4731.48,45,75024.33
141460.09,6,389.25,64,162337.96
133872.64,2,3586.76,32,368678.54
52611.17,14,4641.19,23,238009.06
145314.05,22,1066.76,61,187944.14
55077.33,13,2926.14,76,197238.14
71825.94,10,4594.34,78,229723.38
151833.37,14,362.94,37,392508.27
133430.25,12,3547.62,67,446042.34
171352.45,17,1627.28,31,477667.34
134946.45,25,4637.1,19,393451.69
117978.63,5,4861.08,26,157703.45
27798.21,2,4732.48,80,344067.35
79866.0,18,2476.23,54,218801.56
60388.45,14,4337.8,37,127335.31
56358.03,24,4253.84,43,420435.79
194872.01,22,1731.68,46,19213.17
84688.57,4,4178.79,18,450881.0
179488.85,9,377.64,72,230738.73
129916.34,6,3062.1,52,318600.74
161014.15,24,1304.04,23,329676.96
105501.05,16,778.72,54,447558.87
119611.74,6,569.38,70,318334.84
103578.36,21,3542.19,76,306966.79
47096.17,25,1831.4,22,33326.02
147265.9,11,3678.88,50,259204.01
63346.75,24,513.71,66,75084.5
14620.03,16,1713.39,68,368716.88
132639.74,12,2789.56,31,256110.96
43651.03,19,3995.47,29,340113.89
188687.13,24,1730.01,59,20836.45
191246.43,3,3204.28,37,42396.01
183824.23,9,4452.69,70,358161.69
80330.15,2,3156.14,67,36042.17
12936.76,8,1318.21,41,35628.36
186380.53,12,317.12,76,6054.24
91354.99,17,4376.47,60,478250.7
193664.42,14,302.09,79,368754.18
193087.8,3,4398.57,51,176625.7
172071.8,14,2738.9,42,148267.79
65945.29,21,4707.52,67,174851.61
83168.57,1,4034.16,46,387326.77
171715.97,14,4990.08,74,330685.31
70215.18,7,1883.42,56,92597.78
42203.62,7,3882.5,48,87054.67
115792.24,16,2129.27,73,49197.82
187869.41,11,2503.4,64,330151.36
142245.66,18,3212.03,60,382186.33
118311.62,9,4393.65,67,132523.21
28463.53,8,4923.6,40,10472.48
126851.37,4,3887.71,61,41085.83
198110.23,5,2205.28,55,483930.02
36615.96,19,2222.51,37,147722.39
108482.63,25,3740.4,40,384611.57
176700.88,1,1346.13,79,312331.78
150746.04,23,730.28,62,190969.82
142432.99,12,1902.19,69,102843.63
143471.98,5,1578.75,33,60693.21
78303.32,4,1622.28,67,307506.48
65782.45,24,1321.32,59,387316.89
163778.62,0,402.05,77,321952.13
163921.54,20,285.79,72,265151.07
174743.74,21,4941.07,25,20975.61
183515.7,20,2253.31,67,484244.39
107155.06,5,2044.77,38,399357.1
105288.1,5,3462.31,18,146411.02
161676.08,22,1247.62,72,489985.16
133493.15,15,4759.81,25,300940.79
143373.71,3,3974.46,46,291211.33
161200.61,10,629.17,49,374036.59
179101.01,23,2204.39,55,405884.89
74219.08,22,4419.77,22,328239.3
81360.76,8,4734.71,64,64047.87
27856.57,22,2443.53,39,169133.75
119873.23,2,3144.37,64,464041.82
16829.03,18,1001.76,51,112307.81
98463.62,7,4957.61,18,186083.51
113102.48,4,1312.02,72,216038.44
64442.84,3,4725.11,72,219702.49
122258.32,23,3318.3,43,306469.79
15795.05,5,3117.14,60,471537.92
17096.16,1,2660.9,27,120346.36
166294.11,19,1307.22,47,60750.69
78436.22,10,1047.33,67,98735.24
34141.5,3,1258.33,35,443462.45
109226.22,14,1094.9,34,322905.41
156298.78,5,3942.01,43,142953.39
51006.0,21,1880.6,25,407973.47
128349.19,16,477.64,64,430685.0
26216.02,23,4851.69,57,423257.17
19819.53,5,4442.17,66,459463.27
110957.38,18,4653.21,29,126120.51
112720.67,24,4975.56,44,377520.96
131111.68,1,1034.7,25,230269.75
147957.35,14,2101.96,42,420999.28
195411.9,10,3839.54,63,364245.34
108097.07,7,3540.9,21,388223.72
71361.73,25,938.7,50,328080.92
161085.38,18,4116.0,18,88714.38
61458.13,12,1277.31,36,272513.46
93404.57,11,1274.32,48,492334.87
24906.71,4,2777.48,33,468694.03
14816.64,5,3046.11,31,21586.87
192903.2,25,2984.41,70,82407.41
168836.22,21,639.14,65,65864.39
142235.1,3,4411.81,22,362989.95
87701.06,18,1474.88,58,408892.66
42925.92,19,821.67,43,106755.68
39723.04,0,4465.99,79,252926.35
57546.15,19,4787.13,45,420351.51
114353.07,16,4338.21,19,366400.77
145773.23,11,4085.68,67,271118.6
135437.5,14,3345.16,23,295173.85
63187.44,0,2844.12,80,254180.27
191424.4,25,617.54,26,148774.23
150200.41,13,2160.58,50,282511.0
115327.27,5,1988.9,58,344442.65
126226.94,4,1446.82,42,436661.46
89724.01,10,3672.42,65,318145.68
57068.89,3,2580.2,30,380560.77
77634.81,12,589.02,26,80035.82
153990.76,10,1256.88,70,230778.74
12734.76,2,3479.64,30,4665.81
32053.8,0,565.43,48,123339.43
18740.5,5,4285.79,58,363230.86
17738.47,17,2576.7,28,495904.98
172537.51,23,2506.82,21,49589.05
143694.99,9,3043.56,51,200747.16
100093.03,4,4158.47,78,400035.48
28588.49,22,1869.48,55,102017.82
103407.02,9,3454.48,63,277542.47
99959.64,11,2915.51,21,366535.65
42908.36,1,1481.74,55,307992.73
92431.81,12,4417.42,36,94012.37
85715.9,7,4027.64,23,177692.28
127011.52,1,3360.57,51,391895.89
130667.79,19,4282.79,35,277113.26
18607.76,0,4363.01,30,2614.81
81176.4,4,3600.14,58,380495.38
128913.38,8,4217.66,40,17655.68
105595.89,16,3547.86,36,372866.89
172733.07,8,3464.68,62,101240.28
135151.79,10,3169.33,28,479036.74
40957.54,14,3813.04,18,183970.38
23408.06,23,961.3,41,163465.81
132059.66,5,4428.18,79,74444.03
15037.15,22,4384.85,71,152802.11
121297.36,2,340.39,24,438325.38
188643.75,16,4163.92,42,498167.17
119340.09,4,818.58,38,184154.77
83752.29,11,1808.57,32,224305.32
132224.76,17,3768.84,18,361035.47
97068.05,13,971.65,29,443097.89
113667.19,20,4126.24,75,296522.17
188878.31,23,4194.24,24,195762.85
83359.5,10,2635.85,32,206310.92
192626.21,8,230.65,38,347809.07
182016.62,1,1577.78,36,1609.13
47200.32,11,3161.25,77,309794.67
23178.65,2,4909.69,46,177746.51
29147.82,2,3232.7,42,397098.67
13462.15,0,1447.06,50,46495.32
27944.16,7,3243.23,66,294101.13
139771.29,21,2791.93,49,240486.44
23525.84,7,3943.26,66,321162.76
70605.37,10,713.51,52,32426.8
170526.31,8,3852.93,61,289991.89
14421.67,4,2798.08,55,280742.29
164749.01,13,4822.36,43,280330.05
63552.41,2,1840.99,28,301743.83
32451.32,20,3236.59,52,338233.97
142380.06,4,4673.73,25,402494.5
129499.14,4,692.05,63,134910.36
176719.68,18,4698.7,31,412524.71
149663.5,13,3501.85,27,249127.84
162661.38,25,525.62,19,38529.14
63586.57,3,1644.63,63,29275.46
43713.51,24,3599.23,26,167119.16
152616.8,12,523.28,20,392448.49
163298.6,9,2994.42,38,353840.47
198195.98,24,1860.24,43,394307.48
88397.36,17,3180.39,25,258634.53
80683.44,7,419.56,65,220099.5
157518.46,7,4383.38,19,73726.26
74752.67,6,4872.75,23,164096.38
186843.89,7,4850.61,45,217009.68
173098.42,13,3798.33,70,44300.21
91508.87,18,824.41,46,110305.98
152665.5,5,3839.66,43,299112.65
153363.15,0,318.02,42,367831.56
29593.54,22,306.19,29,499173.76
181485.05,14,1753.33,22,466556.67
105997.95,0,2545.49,51,321282.6
167026.92,24,3897.96,65,210624.03
70809.42,16,3479.82,54,318088.68
180149.41,0,2340.33,32,392825.81
83948.32,14,1513.41,61,59168.1
12059.15,22,4986.2,53,204952.44
182022.58,1,2245.67,32,419901.14
27344.47,13,2366.66,60,191916.48
70669.59,20,985.39,65,285936.14
190511.77,7,4015.09,40,293884.68
190615.36,7,3529.67,23,92238.13
118953.2,18,1259.69,63,181117.72
130049.07,6,595.43,67,167255.64
95204.65,18,3466.4,61,13098.35
65710.05,5,3341.65,76,12095.88
72446.26,5,1511.65,60,415848.52
137778.51,2,4764.15,62,136535.4
152951.16,6,925.08,38,259039.38
160400.02,18,2275.21,40,149362.79
160027.45,7,4729.36,60,470339.62
27329.16,9,2214.69,72,129648.38
103939.86,19,3264.92,33,214828.41
20936.16,14,2108.45,64,436365.13
114410.49,14,1516.23,70,420966.78
93890.8,0,4923.09,77,93050.71
178663.79,19,2164.8,32,401321.65
76673.85,6,4491.68,42,229093.44
32242.73,3,1303.78,53,241484.44
37168.42,5,1222.9,28,66739.99
154687.02,24,349.44,68,40300.76
127461.43,0,3328.0,32,363969.65
29213.31,4,1968.93,21,248230.58
25980.29,22,4348.92,38,218425.35
143184.13,0,2471.41,30,364754.11
23824.97,3,4847.33,39,382756.45
166153.41,21,1090.52,36,79454.08
144186.02,1,4369.39,51,305112.57
25456.27,9,3927.66,31,67677.04
26119.17,4,3900.42,78,375687.54
197461.52,9,4254.96,21,328477.58
81111.45,0,3852.92,65,478307.31
80422.01,21,3205.86,70,34479.01
164431.92,5,829.98,69,28527.36
189977.23,12,356.13,63,141093.54
197340.2,14,4620.07,44,130852.84
153141.86,3,3159.92,46,123489.4
81489.32,12,4023.38,64,453127.29
25865.14,23,2511.31,45,124773.1
157657.91,19,763.08,52,135974.86
116096.81,23,800.89,25,379699.13
90602.18,14,3490.71,33,224869.92
182207.33,7,2265.47,59,388355.28
31127.52,4,1162.52,53,32683.08
103598.77,14,2559.65,47,243785.6
12157.19,3,508.2,35,16806.8
99045.52,11,2993.46,19,31326.6
20697.62,12,1491.17,66,453218.73
32575.4,1,4028.28,30,69622.69
32329.99,18,1689.74,21,266210.34
133349.96,18,2385.06,43,205547.8
151748.53,3,255.78,42,173671.66
120840.07,3,547.75,47,449916.67
192812.78,25,2083.97,28,10911.7
81225.41,10,2503.71,24,331894.84
64285.3,4,3080.1,48,481697.22
175033.83,19,1599.98,61,280084.09
52483.21,10,3535.91,27,468411.23
193012.28,9,4328.59,56,26128.94
12309.35,7,3943.28,30,209396.66
194276.98,5,390.17,48,130078.9
18200.38,5,2506.43,24,365410.48
179317.19,7,703.66,80,490648.55
110263.21,22,1361.82,73,128265.03
198663.31,14,4935.98,66,327087.3
24021.35,25,883.98,59,99048.82
115232.31,13,2594.66,78,282665.13
194167.48,10,3167.15,59,231966.24
109388.59,11,3571.83,73,486002.66
129585.74,25,2886.31,53,304263.64
142192.25,12,246.9,37,174753.19
96362.8,7,1767.01,21,57047.89
129236.04,17,2685.02,71,75623.41
121019.72,24,621.76,24,112658.46
181220.02,0,1883.01,71,125483.33
18634.81,14,359.37,18,425308.03
63383.01,7,577.18,61,280611.39
190578.18,10,2105.23,73,261695.46
179150.12,11,837.04,62,57384.44
96574.78,11,2924.2,59,430069.85
127825.19,3,3509.43,64,361407.15
62702.42,15,4042.82,76,33834.18
45743.02,3,1160.72,30,353917.55
98102.7,4,1003.92,72,271769.11
77136.92,23,701.93,39,40862.67
120894.66,4,3254.87,71,229150.32
24769.58,7,3591.08,38,242348.14
195135.01,9,351.61,39,82887.27
197380.04,16,4693.82,45,472849.07
