ID,Idade,Renda_Mensal,Num_Compras,Gasto_Total,Satisfacao,Regiao
1,56,5962.01,19,5710.06,Alta,Sul
2,69,4076.06,8,2382.81,Alta,Norte
3,46,4250.08,5,1758.24,Baixa,Centro-Oeste
4,32,4952.35,8,2152.97,Media,Sul
5,60,2630.46,12,4788.37,Media,Sul
6,25,4593.51,1,164.87,Media,Sudeste
7,38,3874.41,6,904.75,Alta,Norte
8,56,4628.73,18,5580.89,Alta,Norte
9,36,3278.45,8,1796.87,,Centro-Oeste
10,40,8288.43,7,1470.67,Alta,Norte
11,28,6358.35,1,227.97,Alta,Sul
12,28,6914.17,16,3424.19,Alta,Centro-Oeste
13,41,7629.61,12,1892.37,Media,Norte
14,53,5739.87,6,2357.3,Media,Centro-Oeste
15,57,3064.98,2,410.37,Alta,Norte
16,41,5991.19,14,4669.1,Media,Norte
17,20,6314.47,4,1362.6,,Sudeste
18,39,7345.36,1,382.31,Media,Norte
19,19,5305.79,18,2837.47,,Centro-Oeste
20,41,3329.27,13,4784.16,Baixa,Sul
21,61,4344.54,2,563.61,Alta,Sudeste
22,47,4860.03,9,2773.22,Media,Norte
23,55,6698.46,2,622.24,,Norte
24,19,6210.06,9,3194.55,Baixa,Centro-Oeste
25,38,4814.63,1,233.35,Baixa,Sudeste
26,50,8912.35,11,3665.89,Media,Norte
27,29,6437.54,3,846.43,Media,Sul
28,39,4041.97,4,1393.39,Baixa,Sul
29,61,3161.59,18,7157.46,Alta,Norte
30,42,3493.58,6,1200.98,Alta,Sul
31,66,4098.73,3,1195.99,,Sudeste
32,44,3544.43,11,1896.98,Alta,Norte
33,59,3712.69,15,2258.69,Baixa,Centro-Oeste
34,45,4353.12,5,805.2,Baixa,Sudeste
35,33,3626.93,10,2354.46,Baixa,Sul
36,32,8328.98,12,3698.72,Alta,Norte
37,64,3021.52,15,2508.86,,Sudeste
38,68,5909.32,17,2574.08,Alta,Sul
39,61,5167.58,10,3842.73,,Norte
40,69,8885.46,6,2132.89,Alta,Nordeste
41,20,3228.25,18,6341.32,Baixa,Centro-Oeste
42,54,5086.06,13,4824.38,Baixa,Sul
43,68,8801.56,3,975.03,Media,Sul
44,24,8125.8,10,1761.01,Alta,Nordeste
45,38,7810.97,14,3496.85,Alta,Nordeste
46,26,4176.37,6,1984.72,Media,Sudeste
47,56,3610.77,3,660.25,Baixa,Centro-Oeste
48,35,6846.18,16,5149.63,Alta,Centro-Oeste
49,21,8540.94,7,1092.87,Media,Sul
50,42,6118.96,14,3171.48,Alta,Nordeste
51,31,6215.48,9,2585.54,,Centro-Oeste
52,5,4319.86,15,4620.34,Baixa,Norte
53,26,7501.7,3,882.78,,Centro-Oeste
54,43,3715.78,2,648.88,Baixa,Sul
55,19,4603.92,2,303.04,Media,Centro-Oeste
56,37,5265.34,3,525.71,Baixa,Sudeste
57,45,5799.47,18,6610.25,Baixa,Nordeste
58,64,4075.66,14,4486.12,Media,Sul
59,24,3246.44,18,3208.19,Baixa,Sul
60,61,6469.03,10,3605.19,Alta,Nordeste
61,25,4376.1,2,421.12,Media,Nordeste
62,64,6278.05,1,269.56,Media,Nordeste
63,52,3503.36,4,745.2,Media,Sul
64,31,5627.41,14,4585.39,,Nordeste
65,34,5961.83,1,316.71,,Nordeste
66,53,2836.85,14,2838.89,Baixa,Sul
67,67,4687.93,16,5853.6,Media,Sul
68,57,3373.7,14,3504.57,Baixa,Sudeste
69,21,2911.94,3,669.39,Alta,Centro-Oeste
70,19,8934.74,3,564.25,Media,Norte
71,23,4595.3,9,1948.88,Alta,Sul
72,59,7764.18,6,933.04,Baixa,Norte
73,21,4155.16,13,3845.59,,Sudeste
74,46,6929.77,2,721.12,Baixa,Centro-Oeste
75,35,7441.48,8,2297.96,Alta,Centro-Oeste
76,43,6371.65,2,409.64,Media,Centro-Oeste
77,61,5565.25,4,633.67,Baixa,Sudeste
78,51,5176.97,15,3054.86,Media,Nordeste
79,27,4767.64,4,1016.12,,Centro-Oeste
80,53,8541.94,13,4418.74,,Centro-Oeste
81,31,7899.03,12,2363.53,,Sudeste
82,48,8772.67,13,4289.32,Media,Nordeste
83,65,3307.93,14,5134.27,Baixa,Centro-Oeste
84,32,7250.64,18,4742.76,Media,Centro-Oeste
85,25,8599.21,6,2132.15,Media,Nordeste
86,31,3678.01,11,3175.31,Baixa,Sul
87,40,2932.23,2,618.55,,Sul
88,57,7317.28,19,5349.82,,Centro-Oeste
89,38,6234.08,19,5050.07,Baixa,Norte
90,33,7971.89,5,1043.32,Media,Nordeste
91,62,3408.52,19,4290.17,Media,Nordeste
92,35,7669.24,2,444.99,,Norte
93,64,3810.58,10,2908.22,Alta,Nordeste
94,41,3563.76,2,359.98,Alta,Sudeste
95,43,3567.73,11,4171.18,Alta,Nordeste
96,42,7794.74,18,5942.95,Media,Nordeste
97,62,6823.78,15,3755.42,Media,Nordeste
98,58,5899.93,9,1706.9,,Sul
99,46,4832.4,19,7039.46,Alta,Sudeste
100,32,8201.8,9,3203.5,,Nordeste
101,62,5050.89,3,991.29,,Sudeste
102,18,7807.9,9,1960.98,,Sudeste
103,42,5354.38,14,3508.56,Baixa,Sudeste
104,24,4950.14,19,3338.05,Alta,Norte
105,26,5507.42,7,1380.82,Alta,Nordeste
106,41,4458.96,16,5532.07,Baixa,Sul
107,18,7359.46,16,5260.15,Baixa,Sul
108,61,5767.68,1,298.37,Alta,Sul
109,25,4009.38,4,1495.73,Baixa,Sul
110,41,8347.23,4,1183.27,,Nordeste
111,28,4995.29,7,1867.19,Media,Sul
112,68,50000.0,8,1880.74,,Sudeste
113,34,8392.07,17,6546.91,Alta,Norte
114,25,6557.55,5,853.39,Baixa,Centro-Oeste
115,52,3259.84,7,2679.05,Media,Sul
116,52,8608.91,4,1426.71,Alta,Centro-Oeste
117,50,6580.1,6,1094.89,Baixa,Centro-Oeste
118,22,4676.89,7,2038.72,Media,Centro-Oeste
119,59,3405.27,18,6599.47,Media,Sudeste
120,56,7661.16,5,1464.76,Baixa,Sul
121,58,6530.47,3,1130.4,Media,Nordeste
122,45,5967.5,7,2700.22,Alta,Sudeste
123,24,8310.3,14,3578.35,Baixa,Nordeste
124,26,7625.88,7,1710.3,,Sul
125,25,3485.89,5,1920.4,Alta,Sudeste
126,29,4526.19,5,1593.93,Alta,Centro-Oeste
127,51,4115.18,2,358.01,Baixa,Sudeste
128,50,7335.65,6,963.44,Baixa,Sudeste
129,65,2717.96,15,4367.36,Media,Sul
130,40,6204.28,10,3825.43,Alta,Centro-Oeste
131,41,7455.98,7,2527.44,Media,Centro-Oeste
132,54,8198.98,5,1594.81,Alta,Norte
133,52,4723.53,1,184.78,Alta,Norte
134,61,7838.17,13,2776.25,,Nordeste
135,57,3219.11,18,6639.8,Alta,Norte
136,39,8001.94,13,2544.12,Media,Sul
137,44,3328.68,18,3952.98,Media,Sudeste
138,52,5082.37,5,912.0,,Centro-Oeste
139,18,7682.42,13,4147.35,Media,Sudeste
140,52,3474.46,4,1543.98,Baixa,Sul
141,54,-5000.0,17,3693.11,,Sudeste
142,64,7194.64,3,806.55,Media,Centro-Oeste
143,31,7180.24,17,5245.94,Media,Norte
144,20,6667.46,11,4398.53,Baixa,Nordeste
145,18,7010.66,4,704.81,,Centro-Oeste
146,22,6027.71,2,549.29,Baixa,Centro-Oeste
147,43,4136.69,16,3940.48,,Centro-Oeste
148,31,4747.02,18,6596.19,,Centro-Oeste
149,56,3680.39,8,2151.94,Alta,Sul
150,44,8404.93,3,533.23,Media,Centro-Oeste
151,26,6292.05,9,2777.45,Media,Sudeste
152,32,5105.53,6,2056.17,Alta,Sul
153,32,5503.04,10,1507.2,Baixa,Norte
154,43,8657.34,10,3647.39,Alta,Sudeste
155,59,3496.78,13,2554.57,Media,Sudeste
156,30,6310.49,17,4896.29,Media,Sudeste
157,68,5788.28,9,2285.54,Alta,Sudeste
158,49,6474.45,17,5608.53,Alta,Sul
159,56,2617.72,9,2185.11,Alta,Norte
160,66,8168.81,9,3306.97,Media,Norte
161,69,8558.77,1,332.62,Alta,Centro-Oeste
162,49,6173.37,2,623.86,Alta,Nordeste
163,21,7028.23,16,5584.96,Baixa,Sul
164,47,8496.25,1,338.51,Alta,Norte
165,54,7097.05,10,1589.85,Media,Sul
166,40,3491.5,18,4476.3,Baixa,Sul
167,56,6245.87,8,3061.61,,Centro-Oeste
168,62,6443.65,11,1995.74,Media,Norte
169,32,5256.85,2,668.55,Media,Nordeste
170,60,7286.89,8,3149.18,,Nordeste
171,46,8573.39,8,1304.4,Media,Nordeste
172,53,8516.2,17,5449.32,,Sudeste
173,30,5430.46,15,4005.58,,Norte
174,49,3236.05,17,5011.49,Media,Sudeste
175,24,8901.47,13,2227.36,Alta,Sudeste
176,68,7952.84,19,3054.28,Alta,Sudeste
177,39,3310.31,5,1583.58,,Centro-Oeste
178,45,8485.47,12,4269.93,Baixa,Centro-Oeste
179,19,8154.33,1,345.5,,Sul
180,59,5872.45,5,1429.76,,Sul
181,62,6343.29,8,1399.73,,Norte
182,23,5093.52,13,4186.14,Alta,Norte
183,45,2855.95,8,1683.78,Alta,Centro-Oeste
184,45,4678.78,11,4155.44,Alta,Sul
185,61,7718.55,1,359.57,,Sul
186,61,2530.11,13,4255.49,Baixa,Sudeste
187,37,4667.74,19,7357.02,Alta,Nordeste
188,47,5088.1,3,473.57,Media,Nordeste
189,28,5993.07,17,5678.85,Media,Nordeste
190,45,8479.06,5,1162.8,Media,Centro-Oeste
191,42,4751.25,8,3012.13,,Nordeste
192,56,4755.2,14,3033.36,Media,Nordeste
193,50,7293.76,4,1324.86,,Sudeste
194,18,5439.42,11,4063.53,Media,Norte
195,44,3959.93,15,2406.21,Baixa,Centro-Oeste
196,69,5440.86,19,4738.83,,Sul
197,30,3415.57,7,2384.04,Media,Sudeste
198,58,3646.52,19,5010.86,Alta,Nordeste
199,20,5739.39,19,4119.45,,Sul
200,56,5223.02,11,2254.46,Alta,Sudeste
201,23,8446.5,5,914.4,Alta,Centro-Oeste
202,25,4855.56,5,1821.41,Alta,Nordeste
203,44,6273.82,8,2350.71,Alta,Centro-Oeste
204,26,6609.72,10,1690.96,Media,Sudeste
205,54,2585.11,6,1473.87,Media,Sul
206,50,6812.99,15,3629.0,,Norte
207,68,3657.23,16,3126.96,,Nordeste
208,59,8746.96,17,4400.91,,Centro-Oeste
209,61,3466.31,8,1864.2,Media,Sul
210,41,5195.06,8,1883.61,,Sul
211,32,3054.77,9,3012.81,Alta,Norte
212,49,8979.68,2,411.63,Media,Sudeste
213,49,5764.27,15,4656.97,,Norte
214,41,6370.0,18,5267.92,Alta,Norte
215,58,2936.0,3,876.07,,Sudeste
216,69,7374.74,17,5367.78,Baixa,Sudeste
217,66,3864.39,4,1148.38,,Sudeste
218,66,8337.35,4,1479.26,Baixa,Sul
219,69,3833.41,14,4464.53,,Sul
220,29,3739.47,9,2580.67,,Nordeste
221,56,2737.57,9,3216.97,Media,Nordeste
222,19,5568.44,18,5427.66,Media,Norte
223,20,6171.47,10,2227.86,Baixa,Norte
224,66,2927.11,4,807.09,Media,Nordeste
225,54,7540.93,12,2256.98,Alta,Centro-Oeste
226,66,5446.38,8,2998.91,Alta,Norte
227,34,5908.54,2,655.07,Baixa,Centro-Oeste
228,66,5364.96,13,4996.48,Alta,Centro-Oeste
229,19,5104.96,16,4813.17,Alta,Sudeste
230,19,6137.66,2,536.7,,Sul
231,45,3509.06,11,1814.22,Media,Nordeste
232,40,3682.53,0,3179.11,Alta,Sul
233,54,8101.61,15,4433.28,Alta,Nordeste
234,49,8649.75,17,6758.39,Media,Sul
235,50,4926.51,8,1678.32,Alta,Nordeste
236,18,4259.84,18,5088.32,Alta,Sul
237,36,6686.0,9,2814.65,Media,Sudeste
238,19,5156.77,8,2489.18,,Centro-Oeste
239,61,2665.01,14,4064.53,Alta,Nordeste
240,43,3514.99,18,6196.18,Media,Centro-Oeste
241,49,7153.82,12,2414.94,Alta,Nordeste
242,23,6783.01,19,6296.73,Alta,Nordeste
243,49,2676.12,14,4269.07,,Sudeste
244,21,3942.82,17,6358.32,Baixa,Sul
245,28,4001.99,3,1085.4,Baixa,Nordeste
246,5,6867.3,7,1601.51,Media,Sul
247,55,2628.12,17,3724.01,Baixa,Sudeste
248,41,3176.71,12,4744.96,Media,Norte
249,22,100000.0,9,2536.35,Baixa,Centro-Oeste
250,69,3660.54,15,5649.08,,Nordeste
251,51,6742.85,18,3437.46,Media,Sudeste
252,23,4048.19,13,4039.16,Baixa,Sul
253,39,3146.37,8,2819.72,,Nordeste
254,28,4080.62,14,5415.88,Baixa,Sul
255,65,7194.74,8,1874.68,Alta,Norte
256,33,8062.03,14,4637.43,Alta,Nordeste
